GO_x,GO_y
1722.78,5297.63
1721.06,5270.32
1719.34,5235.26
1717.62,5248.74
1715.9,5209.05
1714.18,5174.37
1712.45,5163.37
1710.73,5125.95
1709,5112.74
1707.28,5066.05
1705.56,5098
1703.83,5024.63
1702.11,4990.47
1700.38,4999.63
1698.65,4972.21
1696.93,4975.53
1695.2,4939.21
1693.47,4917.68
1691.74,4902.26
1690.01,4876.47
1688.28,4843.89
1686.55,4812.26
1684.83,4832.32
1683.09,4802.05
1681.36,4779.42
1679.63,4773.95
1677.9,4778.16
1676.17,4736.16
1674.44,4726.74
1672.7,4719.26
1670.97,4674.84
1669.24,4684.58
1667.5,4659.74
1665.77,4656.42
1664.03,4633.26
1662.3,4606.9
1660.56,4616.16
1658.83,4591.42
1657.09,4569.89
1655.35,4565.9
1653.61,4549.79
1651.88,4551.05
1650.14,4558.21
1648.4,4551.16
1646.66,4507.89
1644.92,4503.63
1643.18,4495.11
1641.44,4483.1
1639.7,4503.05
1637.96,4474.74
1636.22,4472.74
1634.47,4473.26
1632.73,4477.63
1630.99,4460.37
1629.24,4469.47
1627.5,4489.58
1625.75,4497.21
1624.01,4479.26
1622.26,4491.26
1620.52,4474
1618.77,4475
1617.03,4465
1615.28,4479.84
1613.53,4480.63
1611.78,4445.11
1610.04,4473.21
1608.29,4478.16
1606.54,4448.53
1604.79,4443.9
1603.04,4445.37
1601.29,4408.89
1599.54,4390.26
1597.78,4381
1596.03,4354.89
1594.28,4330.68
1592.53,4295.84
1590.77,4287.53
1589.02,4268
1587.27,4243.26
1585.51,4198.89
1583.76,4179.74
1582,4126.47
1580.25,4137.69
1578.49,4097.74
1576.73,4065.74
1574.98,4041.89
1573.22,4032.05
1571.46,3976.26
1569.7,3943
1567.94,3942.89
1566.19,3914.58
1564.43,3900.74
1562.67,3870.58
1560.91,3837.95
1559.14,3800.21
1557.38,3787.74
1555.62,3772.26
1553.86,3735.37
1552.1,3736.21
1550.33,3682.74
1548.57,3679.9
1546.81,3648.21
1545.04,3626.21
1543.28,3637.21
1541.51,3628.84
1539.75,3615.05
1537.98,3555.05
1536.21,3554.32
1534.45,3583.68
1532.68,3534.63
1530.91,3525.95
1529.14,3494.95
1527.37,3506.84
1525.6,3481.79
1523.83,3488.95
1522.06,3463.68
1520.29,3488.16
1518.52,3463.95
1516.75,3427.42
1514.98,3449.47
1513.21,3422.05
1511.43,3417.42
1509.66,3408
1507.89,3409.16
1506.11,3362.37
1504.34,3355.32
